review_id,rating_date,review_year,review_month,employee_status,employee_type,employee_length,employee_location,job_title_bucket,flags_business_outlook,flags_ceo_approval,flags_recommend_friend,rating_overall,rating_work_life,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,rating_culture_values,rating_diversity_inclusion,summary_cleaned,advice_to_management_cleaned,review_pros_cleaned,review_cons_cleaned,pros_polarity,pros_subjectivity,cons_polarity,cons_subjectivity,pros_sentiment_label,cons_sentiment_label
1,2025-06-03,2025,2025-06,Regular,Current Employee,0,"Richmond, VA",Associate,No Response,No Response,No Response,3,0,0,0,0,0,0,amazon,dont micro manage,not interactive leave take whenever long time easy work,inhumane draining physically mentally,0.1916666667,0.6166666667,-0.5,0.55,positive,negative
2,2025-05-29,2025,2025-05,Contract,"Current Employee, Less Than 1 Year",1,"Brampton, ON",Associate,Positive,Approve,Positive,4,3,5,3,5,5,5,good,remove attitude manager warehouse,good easy work environment,sticks rules completing targets otherwise get warning,0.5666666667,0.7166666667,0,0,positive,neutral
3,2025-05-28,2025,2025-05,Regular,"Current Employee, Less Than 1 Year",1,"Bolton, ON",Associate,Positive,Approve,Positive,5,5,5,5,5,5,5,good experience,,help grow good pay,limited opportunities advancementno clear path promotion,0.7,0.6,0.01428571429,0.2630952381,positive,neutral
4,2025-05-26,2025,2025-05,Part Time,Current Employees,2,"Swedesboro, NJ","Management, IT, RME, HR",Positive,Approve,Positive,3,2,2,2,3,2,2,dhdh,,plenty work meet new people,tough body labor intensive,0.1363636364,0.4545454545,-0.3888888889,0.8333333333,positive,negative
5,2025-05-23,2025,2025-05,Regular,Current Employee,0,"Whitby, ON",Associate,No Response,No Response,No Response,4,0,0,0,0,0,0,good pay rate,,good holiday pay additional benefits permanent employees,not hiring permanent employees directly,0.7,0.6,0.1,0.4,positive,neutral
6,2025-05-18,2025,2025-05,Regular,Former Employees,2,"Kenosha, WI",Associate,No Response,No Response,No Response,3,3,4,2,3,3,3,worst american sweat shop,,nice people great pay benefits,management not care employees hours way long,0.7,0.875,-0.05,0.4,positive,neutral
7,2025-05-17,2025,2025-05,Regular,Current Employees,4,"Oklahoma City, OK",Associate,Negative,No Opinion,Negative,4,3,5,5,4,4,4,warehouse,physical strength,learn lift trucks pallet jack flex schedule shifts,fast paced working environment weight lifting,0,0,0.2,0.6,neutral,positive
8,2025-05-15,2025,2025-05,Regular,Current Employee,0,Unknown,"Management, IT, RME, HR",No Response,No Response,No Response,2,1,3,2,4,2,4,less ideal,no,decent work wasnt miserable,people charge wasnt good,-0.4166666667,0.8333333333,0.7,0.6,negative,positive
9,2025-05-14,2025,2025-05,Regular,"Former Employee, Less Than 1 Year",1,"Clarksville, TN",Associate,No Response,No Response,No Response,3,0,4,0,3,0,0,amazon,get better,good pay not long hours,management absolutely terrible communicating,0.3625,0.5,-1,1,positive,negative
10,2025-05-14,2025,2025-05,Unknown,"Former Employee, Less Than 1 Year",1,"Appleton, WI",Associate,No Response,No Response,No Response,2,0,0,0,0,0,0,keep going keep trying,,workout regularly routine habit,work life less sleep,0,0.07692307692,-0.1666666667,0.06666666667,neutral,negative
11,2025-05-13,2025,2025-05,Regular,Former Employees,4,"Windsor, CT",Picker/Packer,Positive,Approve,Positive,5,5,5,4,4,5,5,amazon fulfillment center bdl,appreciation employees,tuition reimbursement schedule flexibility benefits salary overtime opportunities,standing hours noise safety hazards overworking get write ups not meeting rate expectations,0,0,0,0,neutral,neutral
12,2025-05-07,2025,2025-05,Regular,Current Employee,0,"Sparrows Point, MD","Management, IT, RME, HR",No Response,No Response,No Response,3,0,0,0,0,0,0,procons,,benefits great start immediately,workplace culture bad,0.8,0.75,-0.7,0.6666666667,positive,negative
13,2025-05-04,2025,2025-05,Regular,Former Employee,0,"Ajax, ON",Associate,No Response,No Response,No Response,5,0,0,0,0,0,0,warehouse associate,,good pay stressfree hard working,nightshift overtime no cons,0.2041666667,0.5708333333,0,0,positive,neutral
